Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Album_Type,Collection Style,Collection Genre,Collection Recorded,Collection Original Released,Collection Artist_City,Collection Artist_Country,Collection Artist_Region_State,Collection Purchased,Collection Year_Purchased,Collection Shop,Collection Shop_City,Collection Shop_Region_State,Collection Shop_Country,Collection Years active,Collection Group,Collection Group_Members,Collection Instrument(s),Collection Instrument(s)_2,Collection Instrument(s)_3,Collection Instrument(s)_4,Collection Media Condition,Collection Sleeve Condition,Collection Cover Art,Collection Notes,Collection Record Cleaning Date,Collection Record Cleaning Kit
10 C 176-06581/2,The Shadows,20 Golden Greats = 20 Grandes Exitos,Reflejo,"2xLP, Comp",3,1977,3863468,2021 Second Hand,2023-04-24 04:37:20,Collection,Instruments,"Rock, Pop",Unknown,1977,London,UK,England,In-Store,2021,Vinil Vintage,Barcelona,Catalonia,Spain,"1958–1968 
1969-1970
1973–1990
2004-2005 
2008-2010
2015 (one-off reunion: 2020)",Yes,"Hank Marvin
Bruce Welch
Brian Bennett","Hank Marvin – lead guitar, keyboards, vocals (1958–1968, 1969-1970, 1973–1990, 2004–2005, 2008–2010, 2015, 2020)
Bruce Welch – rhythm guitar, vocals (1958–1968, 1973–1990, 2004–2005, 2008–2010, 2015, 2020)
Brian Bennett – drums, percussion, keyboards (19","Ian Samwell – lead guitar, rhythm guitar, bass (1958; died 2003)[26][27][28][29]
Terry Smart – drums (1958–1959)[27][28][29][30]
Norman Mitham – rhythm guitar (1958)[27][28][29]
Ken Pavey – rhythm guitar (1958)[31]
Jet Harris – bass, vocals (1959–1962; d","Tony Meehan – drums, percussion (1959–1961, 1968; died 2005)
Brian Locking – bass, harmonica (1962–1963, 1968; died 2020)
John Rostill – bass, vocals (1963–1968, 1969-1970; died 1973)
Alan Hawkshaw – keyboards (1967, 1969–1970, 1979, 1983; died 2021)","John Farrar – rhythm and lead guitar, keyboards, vocals (1973–1975)
Alan Tarney – bass (1973–1977)
Cliff Hall – keyboards (1977–1990; 2004–2005)
Alan Jones – bass (1977–1985, 1987–1989)
George Ford – bass (1978–1980; died 2007)
Mark Griffiths – bass (198",Good (G),Good (G),Jellerey Edwards,"Warren Bennett – keyboards, percussion, harmonica, guitar (2005, 2008–2010, 2015)

Released in a gatefold sleeve

[on front cover:]
Número 1 en Inglaterra",,
SMRL 6209,Edoardo Bennato,Burattino Senza Fili,Ricordi,"LP, Album, Gat",4,1977,839987,Father Collection,2023-04-24 02:28:38,Conceptual,"Rock & Roll, Pop Rock",Rock,"Ricordi
Milano, Lombardia, Italia",1977,Naples,Italy,Campania,In-Store,Unknown,Unknown,Unknown,Unknown,Italy,1966 – presents,No,None,"Vocals [Voce], Harmonica [Armonica], Guitar [Chitarra] – Edoardo Bennato","Alto Saxophone [Sax Contralto], Tenor Saxophone [Sax Tenore] – Robert Fix*
Bass [Basso] – Luigi De Rienzo*
Dobro [Chitarra Dobro] – Roberto Ciotti
Guitar [Chitarra] – Tony Di Mauro (2)
Musician [Altri Musicisti] – Alberto Ravasini, Andrea Sacchi, Maurizi",Piano – Ernesto VitoloPercussion [Percussioni] – Tony Esposito,"Arranged By [Strings And Horns - Scrittura Archi E Fiati], Directed By [Strings And Horns - Direzione Archi E Fiati] – Antonio Sinagra
Music By [Musiche Di], Words By [Testi Di] – Edoardo Bennato",Good Plus (G+),Good Plus (G+),Photography By [Foto] – Giuseppe Pino,"Released in a gatefold sleeve with a 6-page booklet attached inside (stapled and glued).
Plain inner sleeve.",,
2394 265,Various,Fame - Bande Originale du Film,RSO,"LP, Album, Gat",3,1980,1377341,2022 Second Hand,2023-05-08 07:41:19,Soundtrack,"Soundtrack, Disco","Funk / Soul, Stage & Screen","Media Sound Studios, New York City, New York, USA",1980,Other,Other,Other,In-Store,2021,Librería Reciclaje,Granada,Andalucia,Spain,Other,Yes,"Vocals: Irene Cara, Linda Clifford, Paul McCrane, Laura Dean, Traci Parnell, Eric Brockington, Ann E. Sutton, Deborah McDuffie, Louise Bethune, Luther Vandross, Peggie Blue, Ullanda McCullough, Vicki Sue Robinson, Yvonne Lewis","Musicians: Neil Jason, Yogi Horton, David Spinozza, Jeff Mironov, Elliott Randall, Leon L. Pendarvis Jr., Rob Mounsey, Kenneth Bichel, Crusher Bennet, Jimmy Maelen, Frank Owens, Michael Monaco, Lee Curreri, Ray Chew, Bob Fisher, Don Brooks, Denny Morouse","Musicians:Chris Rogers, Mike Lawrence, Adam Abeshouse, Marcus Miller, Jesse Levy, Richard Locker, John Beal, Ron Carter, Chris Parker, Cliff Morris, Jeff Layton, Suzanne Ciani, Judy Geist, Julian Barber, Lenora Weinstock, Maureen Gallagher, Diana Halperi","Musicians: Fred Buldrini, Harold Kohon, Joe Malin, Joe Rabuska, Lamar Alsop, Lou Eley, Max Ellen, Regis Iandiorio, Sanford Allen, Tony Posk, George Young, Ronald Cuber, David Taylor, Steve Jordan, Russ Traut, Cliff Carter, Tim Tobias, Harold Vick","Musicians: Jon Faddis, Randy Brecker, Wade Lassister
Lyrics and Music: Michael Gore, Dean Pitchford, Lesley Gore, Robert F. Colesberry, Dominic Bugatti, Frank Musker, Anthony Evans",Good (G),Good (G),"Printed By – France Imprimerie Sorel
Art Direction, Design – Glenn Ross, Tim Owens","The song fame The song won the Academy Award for Best Original Song in 1980,[1] and the Golden Globe Award the same year. In 2004, it finished at number 51 on AFI's 100 Years...100 Songs survey of top tunes in American cinema.",,
"0600753535073, TAMLA 277",Marvin Gaye & Tammi Terrell,United,"Tamla, Tamla","LP, Album, 180",4,2016,8315344,Original Collection Rita,2023-05-08 04:45:25,Studio Album,Funk / Soul,Soul,"RCA Studios, Chicago, Illinois, USA",1968,"Washington,
Philadelphia","USA,
USA","D.C.,
Pennsylvania",Online,2021,Amazon,Other,Other,Spain,"1957–1984,
1960–1970",Yes,"Marvin Pentz Gay Jr.
Thomasina Winifred Montgomery","Marvin Gaye, Tammi Terrell - Lead Vocals","Background Vocals - Marvin Gaye, Tammi Terrell, Harvey Fuqua, Johnny Bristol, The Originals, The Andantes, The Spinners.
Instrumentation - The Funk Brothers",Producer – H. Fuqua & J. Bristol,"Written-By – Ashford & Simpson (AS), Benton (B), Beavers (B), Bristol (J), Carlo (T), Carson Parks (C), Davis (H), Fuqua (H), Gaye (M), Gordy (B, G), James (E), Kemp (T), Wilson (C, F, V)",Very Good Plus (VG+),Very Good Plus (VG+),Sleeve Notes – Clay Cole,"Made in the Czech Republic.
Printed in the E.U.",,
UX 4848,Fernandez Pray Und Sein Orchester,Midnight In Rio,Telefunken,"7"", EP, Mono",,1958,5316380,45,2023-05-10 05:21:01,Single,"Easy Listening, Big Band, Rumba, Mambo","Jazz, Latin",Unknown,1958,Unknown,Unknown,Unknown,In-Store,2021,Unknown,Florence,Toscana,Italy,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Fair (F),Fair (F),Unknown,Unknown,,
63 60 170,Dire Straits,Communiqué,Vertigo,"LP, Album",3,1979,1793196,2023 Second Hand,2023-04-27 04:09:35,Studio Album,Classic Rock,Rock,"Compass Point Studios
Nassau, Bahamas",1979,"Deptford, London",UK,England,In-Store,2023,Revolver Records S.L.,Barcelona,Catalonia,Spain,"1977–1988
1990–1995",Yes,"Mark Knopfler
David Knopfler
John Illsley
Pick Withers","Drums – Pick Withers
Vocals, Bass – John Illsley
Vocals, Guitar – David Knopfler, Mark Knopfler",Keyboards – B. Bear,"Engineer – Jack Nuber
Engineer [Mix] – Gregg Hamm
Producer – Barry Beckett, Jerry Wexler
Tape Op – Thelbert Rigby",Written-By – Mark Knopfler,Poor (P),Poor (P),"Art Direction – Alan Schmidt
Cover [Illustration] – Geoff Halpin
Design – Hothouse
Photography By [Portraits] – Barry Schulz",No Inner Sleeve,,
6302 057 ,Status Quo,Just Supposin'... ,Vertigo,"LP, Album",,1980,4156234,2022 Second Hand,2023-04-29 09:02:40,Studio Album,"Classic Rock, Hard rock, Boogie rock,",Rock,"Windmill Lane Studio, Dublin, Leinster, Republic of Ireland",1980,London,UK,England,In-Store,2022,Daily Records,Barcelona,Catalonia,Spain,"1962–1984
1985–present",Yes,"Francis Rossi
Rick Parfitt
Alan Lancaster 
John Coghlan","Guitar, Vocals - Francis Rossi
Guitar, Vocals -Rick Parfitt
Bass, Vocals -Alan Lancaster 
Drums - John Coghlan","Keyboards - Andy Bown
Backing Vocals - Berinie Frost
Harmonica on ""Coming And Going"" - Bob Young
","Co-produced STATUS QUO, John Eden
",None,Very Good Plus (VG+),Very Good Plus (VG+),"Portrait Photography - Danny Clifford, Fin Costello
Design and Art Director - Alan Schmidt","Record Company – Fonogram, S.A.
Manufactured By – COFASA
Printed By – FOCO, S. A.",,
6360 128,Status Quo,Blue For You,Vertigo,"LP, Album, Gat",2,1976,1065085,2022 Second Hand,2023-04-27 00:33:49,Studio Album,Pop Rock,Rock,"Phonogram Studios
London, England, UK",1976,London,UK,England,In-Store,2022,Daily Records,Barcelona,England,UK,"1962–1984
1985–present",Yes,"John Coghlan
Alan Lancaster
Rick Parfitt
Francis Rossi","Bass, Guitar, Vocals - Alan Lancaster
Drums - John Coghlan
Guitar, Keyboards, Vocals - Rick Parfitt
Guitar, Vocals - Francis Rossi","Piano - on ""Mad About the Boy"" and ""Ease Your Mind"" - Andy Brown
Harmonica - on ""Rolling Home - Bob Young","Engineer – Hugh Jones
Engineer, Co-producer – Damon Lyon-Shaw
Management – Colin Johnson (4)","Producer, Arranged By – Status Quo
Written by - Lancaster, Rossi, Young, Parfitt",Very Good Plus (VG+),Very Good (VG),"Photography By [Front And Back] – Keef 
Photography By [Inside] – Terry O'Neill 
Sleeve, Design – Jack Wood ","Inner Sleeve with Lyrics.
Double Folder, but only one vinyl.",,
9102 014,Status Quo,Rockin' All Over The World,Vertigo,"LP, Album",,1977,3089242,2022 Second Hand,2023-04-29 08:53:51,Studio Album,"Pop Rock, Hard Rock, Classic Rock",Rock,"Studio Bohus
Kungälv, Sweden",1977,London,UK,England,In-Store,2022,Daily Records,Barcelona,Catalonia,Spain,"1962–1984
1985–present",Yes,"Francis Rossi
Rick Parfitt
Alan Lancaster 
John Coghlan","Guitar, Vocals - Francis Rossi
Guitar, Vocals -Rick Parfitt
Bass, Vocals -Alan Lancaster 
Drums - John Coghlan","Keyboards, Backing vocals - Andy Bown
Percussion - Franck Ricotti","Engineer – John Eden
Mastered By – Melvin Abrahams
Producer – Pip Williams","Written by Rossi, Parfitt, Young, Lancaster, Green, P.Williams.",Very Good Plus (VG+),Very Good Plus (VG+),Design – Eric Howard Productions,Printed Inner Sleeve,,
"842 671-1, 842 671-1 ",The Notting Hillbillies,Missing... Presumed Having A Good Time ,"Vertigo, Phonogram","LP, Album",3,1990,4142032,2022 Second Hand,2023-04-26 23:27:33,Collection,"Country Blues, Country","Country, Blues, Americana",Unknown,1990,London,UK,England,In-Store,2022,Revolver Records,Barcelona,Catalonia,Spain,"1990–1993
1997 
2002",Yes,"Brendan Croker
Guy Fletcher
Mark Knopfler
Paul Franklin
Steve Phillips ","Guitar, Vocals – Brendan Croker, Steve Phillips (4)
Guitar, Vocals, Producer – Mark Knopfler
Keyboards, Vocals, Producer – Guy Fletcher
Pedal Steel Guitar – Paul Franklin
","Composed By -  Whitcup, Powell,  Mark Knopfler, A. Delmore, H. Glover, R. Delmore, W. Raney, Steve Phillips, C Louvin, I Louvin, Brendan Croker, Charlie Rich",Engineered by Bill Schnee,"Produced by Guy Fletcher, Mark Knopfler",Very Good (VG),Very Good Plus (VG+),"Photography By – Brian Aris
Printed By – Gráficas Foco, S.A.
Printed By – Tecnicolor, S.A.
 The cover art copyright is believed to belong to the label, Warner Bros., or the graphic artist(s)","In the Cover we have Brendan Croker, Guy Fletcher, Mark Knopfler, Steve Phillips. In the inner sleeve we have the lyrics and an individual picture of each one of the above mentioned artist.",,
"63 59 034, 58834",Dire Straits,Making Movies,"Vertigo, Vertigo","LP, Album, Club, RE",,1981,6107470,2023 Second Hand,2023-05-15 02:52:40,Studio Album,"Blues Rock, Classic Rock",Rock,"Power Station (New York, NY, USA)",1980,"Deptford, London",UK,England,In-Store,2023,Barcelona City Record,Barcelona,Catalonia,Spain,"1977–1988
1990–1995",Yes,"Mark Knopfler
John Illsley
Pick Withers","Vocals, Guitars - Mark Knopfler
Bass, Vocals - John Illsley
Drums, Vocals - Pick Withers","Keyboards – Roy Bittan
Guitars (uncredited) - Sid McGinnis","Engineer [Assistant] – Jeff Hendrickson, Jon Mathias
Mastered By – Greg Calbi
Producer – Jimmy Iovine, Mark Knopfler",Songwriter [Songs By] – Mark Knopfler (tracks: A1 to B4),Very Good Plus (VG+),Very Good (VG),"Design, Artwork – Neil Terk
Photography By – Brian Griffin
Artwork - John Illsley","Edicion especial para ""Circulo de Lectores""

 ""Tunnel of Love,"" with its intro ""The Carousel Waltz"" by Richard Rodgers and Oscar Hammerstein II it remains one of Knopfler's most popular composition",,
I-201 206,Mike Oldfield,Platinum,Virgin,"LP, Album, RE, Dar",3,1984,1527823,2023 Second Hand,2023-04-26 07:27:58,Studio Album,"Dance Rock,Folk Rock, Prog Rock",Rock,"Electric Lady & Blue Rock
New York, New York, USA
Througham Slad Manor
Bisley, Surrey, England, UK
The Manor 
Shipton-on-Cherwell, Oxfordshire, England, UK.",1979,Reading,UK,"Oxfordshire, England",In-Store,2023,Revolver Records,Barcelona,Catalonia,Spain,1967-2018,No,0,"Guitar, Acoustic Guitar, Piano, Synthesizer, Vibraphone, Marimba, Vocals – Mike Oldfield
Bass – Franscico Centeno, Hansford Rowe, Neil Jason
Congas – Demalza","Drums – Alan Schwartzberg, Maurice Pert
Drums, Vibraphone – Pierre Moerlin
Keyboards – Nicko Ramsden, Pete Lemer
Tubular Bells – Sally Cooper
Vocals – Wendy Roberts (tracks: B2, B4)","Engineer – Kurt Munkacsi
Engineer [Assistant] – Renate Blauel, Richard Manwaring

Written-By [North Star] – Philip Glass","Arranged By [Horns] – Michael Riesman, Peter Gordon
Arranged By [Vocals] – David Bedford
Producer, Engineer – Tom Newman",Good Plus (G+),Good (G),Cover – Trevor Key,"It was Oldfield's first album to include shorter songs and music written by others. A modified version of the album was released in the United States and Canada and titled Airborn.
Röyksopp adapted and remixed two sections of Platinum.",,
LL-209 982,Mike Oldfield,Earth Moving,Virgin,"LP, Album",3,1989,1211536,2021 Second Hand,2023-04-24 05:05:47,Studio Album,"Synth-pop, Ambient","Pop, rock","Roughwood Studio
Buckinghamshire, England, UK",1989,Reading,UK,"Berkshire, England",In-Store,2021,Daily Records,Barcelona,Catalonia,Spain,1967–2018,No,None,Mike Oldfield – guitars and keyboards,"Backing Vocals – Phil Spalding, Mike Oldfield, Nikkie ""B"" Bentley, Paul Lee
Lead Vocals – Adrian Belew, Max Bacon, Maggie Reilly, Carol Kenyon
Vocals – Mark Williamson,  Anita Hegerland, Chris Thompson","Harp, Tambourine – Daniel Lazerus
Saxophone – Raf Ravenscroft*",Written-By – Mike Oldfield,Good Plus (G+),Good (G),"Sleeve by Storm Thorgrson, Roger Dean, Colin Chambers
Photography by Tony May, Andy Earl
Graphics by Nexus","Oldfield used PRS guitars.
Synthesizers on the album include a Fairlight Series III and various instruments made by Roland and Korg (including an M1). The album was recorded an Atari 1040ST with C-Lab Notator software",,
T 206700,Culture Club,Waking Up With The House On Fire,Virgin,"LP, Album",2,1984,1260318,2022 Second Hand,2023-05-08 07:59:34,Studio Album,"Synth-pop, Vocal","Electronic, Pop","Red Bus Studios, London, England, UK",1984,London,UK,England,In-Store,2022,Daily Records,Barcelona,Catalonia,Spain,"1981–1986
1998–2002
2011–present",Yes,"Boy George
Mikey Craig
Roy Hay
Jon Moss","Vocals - Boy George
Bass Guitar - Mikey Craig
Guitar, Piano, Keyboards, Sitar, Electric Sitar - Roy Hay
Percussion, Drums - Jon Moss","Back vocals - Phil Pickett, Helen Terry, Imogen Exton, Derek Green, Alice Kemp, Andriana Loizou, Alanda Marchant, Nancy Peppers, Chris Rainbow, Louis Rogers, Martin Sunley, Tara Thomas, Clare Torry
Keyboard - Phil Pickett
Saxophone - Steve Grainger","Trombone - Kenneth McGregor
Trumpet - Ron Williams","Producer – Steve Levine
Written By – Culture Club
Engineer - Gordon Milne
Assistant Engineer - Peter Lees
Digital Mixing - Jon Moss
Hair Stylist - Ray Allington
Stylist - Kim Bowen",Good Plus (G+),Good Plus (G+),"Photography, Makeup - Stevie Hughes
Cover and Rear Sleeve Illustration - Connie Jude","The album peaked at number two on the UK Albums Chart, becoming the band's third top five album.",,
V2181,Mike Oldfield,QE2,Virgin,"LP, Album, Por",4,1980,5887303,2022 Second Hand,2023-05-03 10:38:21,Studio Album,"New Age, Art Rock, Pop Rock, Prog Rock",Rock,"Denham, Buckinghamshire, England, UK",1980,"Reading, Berkshire",UK,England,In-Store,2022,Daily Records,Barcelona,Catalonia,Spain,1967–2018,No,None,"Acoustic Guitar, Bass Drum, Bass Guitar, Banjo, Classical Guitar (Spanish), Drum Machine, Drums (African), Effects Chair, Electric Guitar, Electronic Drums (Syndrums), Gong, Harp (Celtic), Mandolin, Marimba, Northumbrian Pipes (Northumbrian Bagpipes),","Pedalboard (Bass Pedals), Piano, Performer (Claptraps), Slapstick (Aboriginal Rhythm Stick), Synthesizer, Timpani, Tambourine, Vibraphone, Vocoder - Mike Oldfield","Drums – Phil Collins, Morris Pert, David Hentschel, 
Drums [African] – Mike Frye
Piano, Synthesizer – Tim Cross
Synthesizer – David Hentschel
Tenor Saxophone – Philip Todd
Trombone – Paul Nieman
Trumpet – Guy Barker, Raul D'Oliveira
Vocals – Maggie Riley","Arranged By [Strings and Choir] – David Bedford
Choir – The English Chorale
Strings [Leader Of Strings] – Dick Studt
Tenor Saxophone – Philip Todd
Trombone – Paul Nieman
Trumpet – Guy Barker, Raul D' Oliveira
Vodocoder - Mike Frye",Very Good Plus (VG+),Very Good (VG),"Nobody seems to know who did the cover. It shows a stylised view of the bow of a cruise ship, like the QE2. The LP took the idea further, and had a 'porthole' cut into the front of it. The inner sleeve had various 'blueprint' type drawings ","The album contained both original Oldfield compositions as well as two cover versions of pieces recorded by other bands (""Arrival"" by ABBA and ""Wonderful Land"" by The Shadows).",,
V2380,Culture Club,From Luxury To Heartache,Virgin,"LP, Album",2,1986,1799717,2022 Second Hand,2023-05-09 03:14:54,Studio Album,Synth-pop,"Electronic, Pop","Mountain Studios, Montreux, Riviera-Pays-d'Enhaut, Vaud, Switzerland
Atlantic Studios, New York City, NY, USA",1986,London,England,UK,In-Store,2022,Daily Records,Barcelona,Catalonia,Spain,"1981–1986
1998–2002
2011–present",Yes,"Boy George
Mikey Craig
Roy Hay
Jon Moss","Vocals- Boy George
Bass Guitar - Mikey Craig 
Guitar, Piano, Keyboards, Sitar, Electric Sitar - Roy Hay
Percussion, Drums - Jon Moss","Backing Vocals – David Lasley, Helen Terry, Jocelyn Brown, Phil Pickett, Ruby Turner, Wendell Morrison
Engineer [Additional] – David Richards, Michael O'Reilly
Engineer [Second] – Ed Garcia*, Martin Pearson
Mastered By – George Marino","Producer – Arif Mardin, Lew Hahn
Recorded By, Mixed By – Lew Hahn","Written-By – O'Dowd*, Moss*, Craig*, Rudetsky* (tracks: B5), Pickett* (tracks: A1, A2, A4 to B4), Hay*",Good Plus (G+),Good Plus (G+),"Photography By – Jamie Morgan, Ray Petri
Sleeve – Assorted iMaGes","Tracks listed as:
A-Side (Other Side) / 1-5
B-Side (This Side) / 6-10
",,
0602557048414,Queen,Greatest Hits,Virgin EMI Records,"2xLP, Comp, RE, RM, Gat",5,2016,26777999,Original Collection,2023-05-10 01:20:36,Collection,"Arena Rock, Hard Rock",Rock,Various,1981,London,UK,England,Online,2021,Amazon,Other,Other,Spain,1970–present,Yes,"Sir Brian May 
Freddie Mercury
Roger Taylor
John Deacon","Lead, Backing, Operatic Vocals, Acoustic Piano, Jangle Piano, Fingersnaps, Bicycle Bells, Handclaps, Acoustic Guitar, Organ, Synthesizer, Footstomps - Freddy Mercury","Acoustic, Electric Guitars, Co-Lead Vocals on ""Fat Bottomed Girls"" (Chorus), Backing, Operatic Vocals, Bicycle Bells, Handclaps, Piano, Synthesizer, Footstomps, co-lead vocals on ""Keep Yourself Alive"" (bridge) - Brian May","Acoustic Drums, Percussion, Backing, Operatic Vocals, Timpani, Gong, Triangle, Chimes, Bicycle Bells, Handclaps, Woodblocks, Tambourine, Footstomps, cowbell, co-lead vocals on ""Keep Yourself Alive"" (bridge) - Roger Taylor","Bass Guitar, Electric Guitar, Acoustic, Electric Pianos, Bicycle Bells, Handclaps, Footstomps - John Deacon
Lacquer Cut By – Miles
Management – Jim Beach (2)
Mastered By – Bob Ludwig, Miles Showell
Supervised By – Justin Shirley-Smith, Kris Fredriksson",Very Good Plus (VG+),Very Good Plus (VG+),"Photography By – Douglas Puddifoot, Johnny Dewe Mathews, Koh Hasabe*, Snowdon*, Neal Preston, Terry O'Neill, Watal Asanuma
Sleeve Notes – Jim Jenkins
Sleeve, Design – Cream","Issued in a gatefold sleeve.
180g heavyweight double vinyl, half speed mastered at Abbey Road Studios
Similar to Queen - Greatest Hits, but no download card & different matrix.

℗ 2011 Queen Productions Ltd.
© 2016 Queen Productions Ltd.",,
"87.541-I , 87541-I ",Mike Oldfield,Tubular Bells ,"Virgin, Virgin","LP, Album, RE",5,1983,6168450,2021 Second Hand,2023-04-21 02:47:38,Studio Album,Prog Rock,Rock,"The Manor
Shipton-on-Cherwell, Oxfordshire, England, UK",1974,Reading,UK,England,In-Store,2021,Daily Records,Barcelona,Catalonia,Spain,1967–2018,No,None,"Kevin Ayers – bass guitar
David Bedford – grand piano, accordion, organ, choir master, string arrangements
Steve Broughton – drums
Jon Field – flute
Fred Frith – electric guitar, bass guitar
John Greaves – Davoli electric piano, Farfisa organ, tin whistl","Steve Hillage – electric guitar
Simon Ingram Hill – cello, organ
Geoff Leigh (misspelt on the programme as ""Jeff Leig"") – flute
Ashley Mason – viola
Pierre Moerlen – cymbals, glockenspiel, gongs, tam-tam, tubular bells, timpani
Tom Newman – nasal chorus
","Mike Oldfield – acoustic and electric guitars, bass, Lowrey organ, mandolin, prehistoric poem
Terry Oldfield – flute
Ted Speight – electric guitar
Vivian Stanshall – master of ceremonies
Mick Taylor – electric guitar
Janet Townley – violin
Vulpy – viola","Girlie Chorus: Sarah Greaves, Kathy Williams, Sally Oldfield, Maureen Rossini, Lynette Asquith, Amanda Parsons, Maggie Thomas, Mundy Ellis, Julie Clive, Liz Gluck, Debbie Scott, Hanna Corker.",Good Plus (G+),Fair (F),"Design [Sleeve], Photography By – Trevor Key","Made in Spain
T.G. Hostench, S.A. (1983)",,
"I - 204.500, I·204 500",Mike Oldfield,Five Miles Out,"Virgin, Virgin","LP, Album, Gat",3,1982,1777229,2023 Second Hand,2023-04-23 23:55:30,Studio Album,"Pop Rock, Prog Rock",Rock,"Tilehouse 
Denham, Buckinghamshire, England, UK
The Manor
Shipton-on-Cherwell, Oxfordshire, England, UK",1982,Reading,UK,England,In-Store,2023,Discs Oldies,Valencia,Valencian Community,Spain,1967–2018,No,None,"Drums – Graham Broad. Guitar – Rick Fenn, Guitar. Bass, Keyboards, Vocals – Mike Oldfield. Keyboards – Tim Cross. Percussion – Carl Palmer, Mike Frye. Percussion, Keyboards – Morris Pert. Uilleann Pipes – Paddy Moloney. Vocals – Maggie Reilly.",None,None,None,Very Good (VG),Good (G),"Design [Sleeve Design] – Mike Oldfield
Painting – Gerald Coulson
Photography By – Fin Costello",℗ 1982 Virgin Records Ltd.,,
"V 2640, 210 707",Mike Oldfield,Amarok,"Virgin, Virgin","LP, Album",4,1990,552362,2022 Second Hand,2023-04-24 05:46:57,Studio Album,Prog Rock,"Instrumental rock, Progrock, Experimental rock, World","Roughwood Croft, 

Chalfont St Giles and CTS Studios, London (choir)",1990,Reading,UK,"Berkshire, England",In-Store,2022,Daily Record,Barcelona,Catalonia,Spain,1967–2018,No,None,"Bowed Guitar, Acoustic Guitar, Electric Guitar, 12-String Guitar, Classical Guitar, Bass guitar, Sitar Guitar, Glorfindel Guitar, Highly Strung Guitar, Flamenco Guitar, Bazouki, Mandolin, Ukulele, Steinway Piano, Banjo, Farfisa Organ, Lowrey Organ","Shoes, Hoover, Glockenspiel, Marimba, Bodhran, Northumbrian Bagpipes, Clay drums, Triangle, Tambourine, Wonga Box, Bell Tree, Sticks, Finger Cymbals, Toy dog, Melodica, Chairs, Psaltry, Spinet, Flamenco Guitar, Jew's Harp, Penny Whistles, Bass Whistles, ","Punch Ball and Club, Spoons, Referee's Whistle, Fingernails, Pan Pipes, Glass of Water, Guitar Tuner, Violin, Door, Face Slap, Toothbrush and teeth, Vox Organ, Fake Radio, Contents of Aeromodeller's toolbox, Glass, Hammer and Bucket, Fake Firework","Rototom, Cabasa, Bongos, Orchestral Bass Drum, Timpani, not much synth at all really, Kalimba, long thin metallic hanging tubes.
Janet Brown – voice of ""Margaret Thatcher""
Jabula – African choir and percussion
Paddy Moloney – tin whistle
Clodagh Simonds ",Good Plus (G+),Good (G),"Cover, Liner Notes – William Murray","In a parody of listening instructions on the sleeve of Tubular Bells, the album's back cover reads: ""HEALTH WARNING – This record could be hazardous to the health of cloth-eared nincompoops. If you suffer from this condition, consult your Doctor immediat",,
56952,Fleetwood Mac,Mirage,Warner Bros. Records,"LP, Album",4,1982,1048565,2022 Second Hand,2023-05-09 07:19:39,Studio Album,"Pop Rock, Soft Rock",Rock,"Le Château (Hérouville,Île-de-France,France)
Larrabee Sound and The Record Plant (both in Los Angeles, California, USA)",1982,London,UK,England,In-Store,2022,Vinil Vintage,Barcelona,Catalonia,Spain,"1967–1995
1997–present",Yes,"Lindsey Buckingham
Stevie Nicks
Christine McVie
John McVie
Mick Fleetwood","Guitar, Vocals, Additional Keyboards, Lap Harp on ""Empire State""- Lindsey Buckingham
Vocals, Tambourine -  Stevie Nicks
Keyboards, Vocals - Christine McVie
Bass Guitar - John McVie
Drums, Percussion - Mick Fleetwood","Additional Guitar on ""Straight Back"" - Ray Lindsey
","Engineered by - Richard Dashut and Ken Caillat
Assistant Engineers - David Bianco, Carla Frederick
Immersive (ATMOS) mixing - Chris James
Immersive (ATMOS) mastering - Brad Blackwood","Producer – Fleetwood Mac, Ken Caillat, Lindsey Buckingham, Richard Dashut",Good (G),Good Plus (G+),"Art Director, Design, Concept - Larry Vigon
Photography - George Hurrell
Painting on Cover Photograph - Mac James
Inner Sleeve Artwork - Lindsey Buckingham
Inner Sleeve Penguin Illustration - Larry Vigon","The album returned the group to the top of the US Billboard charts for the first time since their 1977 album Rumours, spending five weeks at number two",,
